,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
13,[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],[271  92   6],6,True,True,True,True,True,True,True,True,True,True,True,True
14,[227 158 242],[ 28 227  47],[186 158 242],[244 142  47],[271  92 244],[227 158 242],[ 28 227  47],[ 28 227  47],[186 158 242],[227 158 242],[227 158 242],[227 158 242],204,False,False,False,False,False,False,False,False,False,False,False,False
15,[256 212 184],[256 212  94],[256 212 184],[ 94  95 126],[ 91 271  94],[256 212 184],[256 184 212],[256 212  94],[256 212 184],[256 212 184],[256 212 184],[256 212 184],112,False,False,False,False,False,False,False,False,False,False,False,False
16,[ 67  65 243],[65 66 67],[ 67  65 243],[ 93  94 271],[ 90  91 228],[243  65  67],[243  65  67],[65 66 67],[ 67  65 243],[ 67  65 243],[ 67  65 243],[ 67  65 243],65,True,True,True,False,False,True,True,True,True,True,True,True
17,[23 46 52],[ 28  23 260],[23 46 52],[ 95  96 271],[271  92   6],[46 23 52],[23 46 52],[ 28  23 260],[23 46 52],[23 46 52],[23 46 52],[23 46 52],46,True,False,True,False,False,True,True,False,True,True,True,True
18,[ 86 222 105],[262  95  97],[ 86 222 105],[91 93 95],[ 91 271 262],[222  86 105],[222  86 105],[262  95  97],[ 86 222 105],[ 86 222 105],[ 86 222 105],[ 86 222 105],151,False,False,False,False,False,False,False,False,False,False,False,False
19,[ 12  91 170],[146  28 170],[ 12  91 170],[ 93  94 271],[ 90  91 107],[ 91  12 170],[ 91 170  12],[146  28 170],[ 12  91 170],[ 12  91 170],[ 12  91 170],[ 12  91 170],146,False,True,False,False,False,False,False,True,False,False,False,False
20,[24 82 32],[82 24 97],[24 82 32],[ 93  94 271],[90 91 92],[32 82 24],[24 82 32],[82 24 97],[24 82 32],[24 82 32],[24 82 32],[24 82 32],24,True,True,True,False,False,True,True,True,True,True,True,True
21,[242   2 158],[  2 158 103],[242   2 158],[ 92  93 271],[ 92   2 271],[158 242 103],[103   2 158],[  2 158 103],[242   2 158],[242   2 158],[242   2 158],[242   2 158],191,False,False,False,False,False,False,False,False,False,False,False,False
22,[244   4 242],[  4 142  28],[244   4 242],[ 93 244 142],[271  92 142],[142 244 242],[142 244 242],[  4 142  28],[244   4 242],[244   4 242],[244   4 242],[244   4 242],4,True,True,True,False,False,False,False,True,True,True,True,True
23,[ 53 212 184],[ 53 184 212],[ 53 184 212],[ 92  93 271],[271  90 184],[ 53 212 184],[ 53 184 212],[ 53 184 212],[ 53 184 212],[ 53 212 184],[ 53 212 184],[ 53 212 184],184,True,True,True,False,True,True,True,True,True,True,True,True
24,[163 228 243],[ 90 243 123],[163 228 243],[ 90  91 271],[ 91  92 243],[163 228 243],[163 228 243],[ 90 243 123],[163 228 243],[163 228 243],[163 228 243],[163 228 243],123,False,True,False,False,False,False,False,True,False,False,False,False
25,[ 28 221  16],[271  93  28],[ 28 221  16],[ 92  93 271],[90 91 16],[ 28 221  16],[ 28 221  16],[271  93  28],[ 28 221  16],[ 28 221  16],[ 28 221  16],[ 28 221  16],221,True,False,True,False,False,True,True,False,True,True,True,True
26,[ 91 262 105],[ 91 105 262],[ 91 262 105],[ 90  91 271],[ 91 271 262],[ 91 262 105],[ 91 262 105],[ 91 105 262],[ 91 262 105],[ 91 262 105],[ 91 262 105],[ 91 262 105],262,True,True,True,False,True,True,True,True,True,True,True,True
27,[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],[ 90 271  91],91,True,True,True,True,True,True,True,True,True,True,True,True
28,[165  67 199],[67 73 79],[165  67 199],[271  92  73],[ 90  91 253],[173 199  67],[173  67 199],[67 73 79],[165  67 199],[165  67 199],[165  67 199],[165  67 199],79,False,True,False,False,False,False,False,True,False,False,False,False
29,[158 199 153],[119  28 153],[158 199 153],[135  92 119],[ 91 270 271],[153 158 195],[158 199 153],[119  28 153],[158 199 153],[158 199 153],[158 199 153],[158 199 153],195,False,False,False,False,False,True,False,False,False,False,False,False
30,[146  46 103],[146 208  95],[146  46 103],[ 92 248  95],[ 91 270 271],[ 46 157 103],[ 46 157 103],[146  46 103],[146  46 103],[146  46 103],[146  46 103],[146  46 103],46,True,False,True,False,False,True,True,True,True,True,True,True
31,[ 46 222  52],[203 176  69],[ 46 222  52],[ 95  89 176],[90 91 46],[222 165  52],[222 165  52],[ 46 222  52],[ 46 222  52],[ 46 222  52],[ 46 222  52],[ 46 222  52],69,False,True,False,False,False,False,False,False,False,False,False,False
32,[105  20  75],[75 67 54],[105  20  75],[ 94  95 135],[91 92 77],[ 75  67 105],[105  20  75],[105  20  75],[105  20  75],[105  20  75],[105  20  75],[105  20  75],67,False,True,False,False,False,True,False,False,False,False,False,False
33,[224  24 187],[ 87  24 208],[224  24 187],[ 93  94 271],[ 90  91 157],[157 187  24],[157  24 187],[224  24 187],[224  24 187],[224  24 187],[224  24 187],[224  24 187],56,False,False,False,False,False,False,False,False,False,False,False,False
34,[ 77 212 105],[105 107 212],[ 77 212 105],[ 91  93 271],[91 92 77],[167 212 105],[167 212 105],[ 77 212 105],[ 77 212 105],[ 77 212 105],[ 77 212 105],[ 77 212 105],107,False,True,False,False,False,False,False,False,False,False,False,False
35,[206 191 158],[ 46 203  23],[206 191 158],[ 93  94 271],[90 91 92],[ 23 158 191],[206 191 158],[206 191 158],[206 191 158],[206 191 158],[206 191 158],[206 191 158],191,True,False,True,False,False,True,True,True,True,True,True,True
36,[228 199 173],[188 173 253],[228 199 173],[ 90  91 271],[ 92  91 173],[228 199 173],[228 199 173],[228 199 173],[228 199 173],[228 199 173],[228 199 173],[228 199 173],173,True,True,True,False,True,True,True,True,True,True,True,True
37,[ 30 271 199],[ 90 271  28],[ 30 271 199],[ 92  93 135],[271  91 199],[ 30 271 199],[ 30 271 199],[ 30 271 199],[ 30 271 199],[ 30 271 199],[ 30 271 199],[ 30 271 199],271,True,True,True,False,True,True,True,True,True,True,True,True
38,[ 84 208 129],[271 198 208],[ 84 208 129],[ 91  92 271],[90 91 84],[ 84 208 129],[ 84 208 129],[ 84 208 129],[ 84 208 129],[ 84 208 129],[ 84 208 129],[ 84 208 129],84,True,False,True,False,True,True,True,True,True,True,True,True
39,[ 92  52 222],[ 86 222  52],[ 92  52 222],[ 91  93 271],[ 89  90 222],[ 92  52 222],[ 92  52 222],[ 92  52 222],[ 92  52 222],[ 92  52 222],[ 92  52 222],[ 92  52 222],52,True,True,True,False,False,True,True,True,True,True,True,True
40,[ 90   4 105],[ 90   4 105],[ 90   4 105],[ 91  92 271],[ 91  90 105],[ 90   4 105],[ 90   4 105],[ 90   4 105],[ 90   4 105],[ 90   4 105],[ 90   4 105],[ 90   4 105],4,True,True,True,False,False,True,True,True,True,True,True,True
41,[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],[ 90  91 187],187,True,True,True,True,True,True,True,True,True,True,True,True
0,[260 267 127],[213 238 127],[260 267 127],[267 127 238],[271  91  72],[213 238 127],[213 238 127],[213 238 127],[260 267 127],[260 267 127],[260 267 127],[260 267 127],127,True,True,True,True,False,True,True,True,True,True,True,True
1,[ 96  97 267],[267  93  26],[ 96  97 267],[ 96 244 267],[90 91 84],[267  93  26],[267  93  26],[267  93  26],[ 96  97 267],[ 96  97 267],[ 96  97 267],[ 96  97 267],93,False,True,False,False,False,True,True,True,False,False,False,False
2,[ 23 158 187],[ 23 238 101],[ 23 158 187],[ 93  94 238],[271  91 129],[ 23 238 101],[ 23 238 101],[ 23 238 101],[ 23 158 187],[ 23 158 187],[ 23 158 187],[ 23 158 187],168,False,False,False,False,False,False,False,False,False,False,False,False
3,[32 20 24],[ 24 260 249],[32 20 24],[ 93  94 271],[ 90  91 157],[ 24 260 249],[ 24 260 249],[ 24 260 249],[32 20 24],[260  20  24],[32 20 24],[260  20  24],260,False,True,False,False,False,True,True,True,False,True,False,True
4,[218 221 105],[218 105 167],[ 17 257 105],[ 92  93 271],[271  91 165],[218 105 167],[218 105 167],[218 105 167],[ 17 257 105],[218 221 105],[218 221 105],[218 221 105],221,True,False,False,False,False,False,False,False,False,True,True,True
