,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
5,[195 248 143],[143 195  62],[195 248 143],[ 62 248 120],[271  92 163],[195 248 143],[143 195  62],[143 195  62],[195 248 143],[195 248 143],[195 248 143],[195 248 143],248,True,False,True,True,False,True,False,False,True,True,True,True
6,[182   2 253],[124   2 253],[182 161 124],[205 253 182],[ 90  91 182],[182 253   2],[124   2 253],[124   2 253],[182 161 124],[182   2 253],[182   2 253],[182   2 253],253,True,True,False,True,False,True,True,True,False,True,True,True
7,[205 120   1],[244 120   1],[120   1 205],[244 120   1],[90 91  1],[205 120   1],[244 120   1],[244 120   1],[120   1 205],[205 120   1],[205 120   1],[205 120   1],25,False,False,False,False,False,False,False,False,False,False,False,False
8,[ 28  72 184],[ 62  72 184],[ 62  28 214],[ 72 184  62],[ 89  90 219],[ 28  72 184],[ 62  72 184],[ 62  72 184],[ 62  28 214],[ 28  72 184],[ 28  72 184],[ 28  72 184],184,True,True,False,True,False,True,True,True,False,True,True,True
9,[246 258 181],[258 244  91],[181 244 246],[ 91 244 246],[ 92  87 246],[246 258 181],[258 244  91],[258 244  91],[181 244 246],[246 258 181],[246 258 181],[246 258 181],181,True,False,True,False,False,True,False,False,True,True,True,True
10,[ 92   2 246],[ 92   2 246],[ 92   2 246],[ 92   2 246],[ 91 271  23],[ 92   2 246],[ 92   2 246],[ 92   2 246],[ 92   2 246],[ 92   2 246],[ 92   2 246],[ 92   2 246],23,False,False,False,False,True,False,False,False,False,False,False,False
11,[ 89 215 203],[ 89 215 203],[ 89 215 203],[ 90  91 203],[271  90 215],[ 89 215 203],[ 89 215 203],[ 89 215 203],[ 89 215 203],[ 89 215 203],[ 89 215 203],[ 89 215 203],42,False,False,False,False,False,False,False,False,False,False,False,False
12,[271 129  72],[271  72 129],[271  72 129],[271 129  72],[271  91  72],[271 129  72],[271  72 129],[271  72 129],[271 129  72],[271 129  72],[271 129  72],[271 129  72],129,True,True,True,True,False,True,True,True,True,True,True,True
13,[ 92  87 195],[ 92  87 195],[ 92  87 195],[ 92  87 195],[ 92  87 195],[ 92  87 195],[ 92  87 195],[ 92  87 195],[ 92  87 195],[ 92  87 195],[ 92  87 195],[ 92  87 195],195,True,True,True,True,True,True,True,True,True,True,True,True
14,[209 107 140],[140 192 247],[263 107 247],[120 209 192],[ 91  92 247],[247 107 140],[140 192 247],[140 192 247],[263 107 247],[209 107 140],[209 107 140],[209 107 140],263,False,False,True,False,False,False,False,False,True,False,False,False
15,[182  22 143],[215 143 220],[182  65 191],[111 178 182],[271  90 215],[ 65  22 143],[ 65  22 143],[215 143 220],[257  65 191],[182  22 143],[182  22 143],[182  22 143],65,False,False,True,False,False,True,True,False,True,False,False,False
16,[193  95 107],[193 220 200],[224  95   4],[193 107 165],[ 92  91 200],[193  95 107],[193  95 107],[193 220 200],[107   4  95],[193  95 107],[193  95 107],[193  95 107],95,True,False,True,False,False,True,True,False,True,True,True,True
17,[ 52 247  15],[247  15  52],[ 15  52 247],[ 52  32 165],[ 90  91 134],[ 52 247  15],[ 52 247  15],[247  15  52],[ 15  52 247],[ 52 247  15],[ 52 247  15],[ 52 247  15],15,True,True,True,False,False,True,True,True,True,True,True,True
18,[244 258 107],[244 267 107],[267 258 107],[258 107 244],[ 91  90 258],[244 258 107],[244 258 107],[244 267 107],[267 258 107],[244 258 107],[244 258 107],[244 258 107],107,True,True,True,True,False,True,True,True,True,True,True,True
19,[181 232  17],[ 33 215 156],[ 56 232  17],[56 33 17],[ 90 271 156],[181 232  17],[181 232  17],[ 33 215 156],[ 56 232  17],[181 232  17],[181 232  17],[181 232  17],202,False,False,False,False,False,False,False,False,False,False,False,False
20,[ 92 184 203],[157 184 203],[157 203  92],[203 165 157],[271  90 184],[ 92 184 203],[ 92 184 203],[157 184 203],[157 203  92],[ 92 184 203],[ 92 184 203],[ 92 184 203],92,True,False,True,False,False,True,True,False,True,True,True,True
21,[246 167 158],[158  56 167],[246 167 158],[ 56 246 167],[ 92  87 246],[246 167 158],[246 167 158],[158  56 167],[167  56 158],[246 167 158],[246 167 158],[246 167 158],155,False,False,False,False,False,False,False,False,False,False,False,False
22,[ 28 247 192],[124 247 192],[243 192 247],[ 28 243 192],[ 91  92 194],[ 28 247 192],[ 28 247 192],[124 247 192],[192 243 247],[ 28 247 192],[ 28 247 192],[ 28 247 192],247,True,True,True,False,False,True,True,True,True,True,True,True
23,[220 178 143],[143 215 220],[220 178 143],[ 92 143 178],[ 92  87 178],[220 178 143],[220 178 143],[143 215 220],[220 178 143],[220 178 143],[220 178 143],[220 178 143],143,True,True,True,True,False,True,True,True,True,True,True,True
