,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
11,[199 164 246],[199 164 246],[199 164 246],[164 199 246],[ 92  87 246],[199 164 246],[199 164 246],[199 164 246],[199 164 246],[199 164 246],[199 164 246],[199 164 246],164,True,True,True,True,False,True,True,True,True,True,True,True
12,[ 98 247  86],[ 98 247  86],[ 98 247  86],[ 98 247  86],[90 91 86],[ 98 247  86],[ 98 247  86],[ 98 247  86],[ 98 247  86],[ 98 247  86],[ 98 247  86],[ 98 247  86],86,True,True,True,True,True,True,True,True,True,True,True,True
13,[271  92 244],[271  92 244],[271  92 244],[271  92 244],[271  92 244],[271  92 244],[271  92 244],[271  92 244],[271  92 244],[271  92 244],[271  92 244],[271  92 244],244,True,True,True,True,True,True,True,True,True,True,True,True
14,[ 94 265 234],[234 169 265],[ 94 265 234],[169 119  94],[ 91  92 247],[ 94 234 265],[234 169 265],[234 169 265],[ 94 265 234],[ 94 265 234],[ 94 265 234],[ 94 265 234],265,True,True,True,False,False,True,True,True,True,True,True,True
15,[ 24  15 188],[ 24  15 263],[ 24  15 188],[188 120  15],[ 89  90 120],[ 92  15 188],[ 24  15 188],[ 24  15 263],[ 24  15 188],[ 24  15 188],[ 24  15 188],[ 24  15 188],15,True,True,True,True,False,True,True,True,True,True,True,True
16,[142  67 189],[ 67 142 189],[142  67 189],[ 42  67 142],[271  91 231],[142  67 189],[142  67 189],[ 67 142 189],[142  67 189],[142  67 189],[142  67 189],[142  67 189],189,True,True,True,False,False,True,True,True,True,True,True,True
17,[267 158 142],[144 158 142],[267 158 142],[158 257 142],[ 90  91 267],[267 158 142],[267 158 142],[144 158 142],[267 158 142],[267 158 142],[267 158 142],[267 158 142],198,False,False,False,False,False,False,False,False,False,False,False,False
18,[ 11 105 193],[105  11 193],[ 11 105 193],[262 105 193],[ 91 271 193],[ 11 105 193],[ 11 105 193],[105  11 193],[ 11 105 193],[ 11 105 193],[ 11 105 193],[ 11 105 193],193,True,True,True,True,True,True,True,True,True,True,True,True
19,[ 56  80 226],[ 56  80 226],[ 56  80 226],[110 226  80],[ 92 167 271],[ 56  80 226],[ 56  80 226],[ 56  80 226],[ 56  80 226],[ 56  80 226],[ 56  80 226],[ 56  80 226],56,True,True,True,False,False,True,True,True,True,True,True,True
20,[107 140 176],[ 72 176 140],[140 107 176],[107 176 140],[ 90  91 236],[107 140 176],[107 140 176],[ 72 176 140],[140 107 176],[107 140 176],[107 140 176],[107 140 176],176,True,True,True,True,False,True,True,True,True,True,True,True
21,[181  53  80],[181  53  80],[181  53  80],[165  53  80],[ 91 271  57],[181  53  80],[181  53  80],[181  53  80],[181  53  80],[181  53  80],[181  53  80],[181  53  80],80,True,True,True,True,False,True,True,True,True,True,True,True
22,[222 119   6],[222   6 119],[222 119   6],[  6 119 222],[ 89  90 222],[222   6 119],[222 119   6],[222   6 119],[222 119   6],[222 119   6],[222 119   6],[222 119   6],119,True,True,True,True,False,True,True,True,True,True,True,True
