,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match
3,66,66,66,66,199,66,66,66,66,66,66,66,132,False,False,False,False,False,False,False,False,False,False,False,False
4,124,203,124,167,124,203,203,203,124,124,124,124,69,False,False,False,False,False,False,False,False,False,False,False,False
5,156,187,156,156,185,156,187,187,156,156,156,156,187,False,True,False,False,False,False,True,True,False,False,False,False
6,87,231,87,87,243,87,231,231,87,87,87,87,253,False,False,False,False,False,False,False,False,False,False,False,False
7,6,123,6,6,123,6,123,123,6,6,6,6,188,False,False,False,False,False,False,False,False,False,False,False,False
8,6,247,6,6,268,6,247,247,6,6,6,6,122,False,False,False,False,False,False,False,False,False,False,False,False
9,260,28,260,28,163,260,28,28,260,260,260,260,151,False,False,False,False,False,False,False,False,False,False,False,False
10,57,23,57,57,23,57,23,23,57,57,57,57,109,False,False,False,False,False,False,False,False,False,False,False,False
11,267,268,267,267,268,267,268,268,267,267,267,267,2,False,False,False,False,False,False,False,False,False,False,False,False
12,208,208,208,208,4,208,208,208,208,208,208,208,208,True,True,True,True,False,True,True,True,True,True,True,True
13,53,53,53,53,53,53,53,53,53,53,53,53,53,True,True,True,True,True,True,True,True,True,True,True,True
14,260,8,260,8,260,260,8,8,260,260,260,260,116,False,False,False,False,False,False,False,False,False,False,False,False
15,175,146,175,175,168,175,175,146,175,175,175,175,85,False,False,False,False,False,False,False,False,False,False,False,False
16,156,187,156,156,4,156,156,187,156,156,156,156,132,False,False,False,False,False,False,False,False,False,False,False,False
17,124,33,124,192,167,124,124,33,124,124,124,124,105,False,False,False,False,False,False,False,False,False,False,False,False
18,269,73,269,269,84,269,269,73,269,269,269,269,196,False,False,False,False,False,False,False,False,False,False,False,False
19,84,52,84,84,221,84,84,52,84,84,84,84,87,False,False,False,False,False,False,False,False,False,False,False,False
20,198,142,198,142,198,198,198,142,198,198,198,198,103,False,False,False,False,False,False,False,False,False,False,False,False
21,57,187,129,129,228,57,129,187,129,57,57,57,187,False,True,False,False,False,False,False,True,False,False,False,False
22,21,21,21,107,129,21,21,21,21,21,21,21,21,True,True,True,False,False,True,True,True,True,True,True,True
23,97,97,97,97,61,97,97,97,97,97,97,97,42,False,False,False,False,False,False,False,False,False,False,False,False
24,156,187,156,156,187,156,156,187,156,156,156,156,187,False,True,False,False,True,False,False,True,False,False,False,False
25,167,206,167,167,167,206,167,206,167,167,167,167,206,False,True,False,False,False,True,False,True,False,False,False,False
26,84,84,84,84,243,84,84,84,84,84,84,84,243,False,False,False,False,True,False,False,False,False,False,False,False
27,84,84,84,84,84,84,84,84,84,84,84,84,84,True,True,True,True,True,True,True,True,True,True,True,True
28,95,142,95,95,170,95,95,142,95,95,95,95,19,False,False,False,False,False,False,False,False,False,False,False,False
29,190,238,190,238,60,190,190,238,190,190,190,190,190,True,False,True,False,False,True,True,False,True,True,True,True
30,95,142,95,269,163,95,95,95,95,95,95,95,118,False,False,False,False,False,False,False,False,False,False,False,False
31,267,187,267,267,267,267,267,267,267,267,267,267,103,False,False,False,False,False,False,False,False,False,False,False,False
32,260,107,260,107,61,260,260,260,260,260,260,260,184,False,False,False,False,False,False,False,False,False,False,False,False
33,198,187,198,167,42,198,198,198,198,198,198,198,187,False,True,False,False,False,False,False,False,False,False,False,False
34,92,67,92,164,16,92,92,92,92,92,92,92,16,False,False,False,False,True,False,False,False,False,False,False,False
35,6,146,6,6,267,6,6,6,6,6,6,6,241,False,False,False,False,False,False,False,False,False,False,False,False
36,164,161,164,164,2,164,164,164,164,164,164,164,82,False,False,False,False,False,False,False,False,False,False,False,False
37,107,238,107,238,107,107,107,107,107,107,107,107,107,True,False,True,False,True,True,True,True,True,True,True,True
38,156,67,156,156,67,156,156,156,156,156,156,156,67,False,True,False,False,True,False,False,False,False,False,False,False
39,193,187,193,187,193,191,193,193,193,193,193,193,187,False,True,False,True,False,False,False,False,False,False,False,False
40,243,61,243,61,61,61,61,61,243,243,243,243,61,False,True,False,True,True,True,True,True,False,False,False,False
41,53,53,53,53,53,53,53,53,53,53,53,53,53,True,True,True,True,True,True,True,True,True,True,True,True
0,95,24,95,95,123,24,24,24,95,95,95,95,95,True,False,True,True,False,False,False,False,True,True,True,True
1,124,215,135,135,1,215,215,215,135,124,124,124,155,False,False,False,False,False,False,False,False,False,False,False,False
2,97,146,97,244,185,146,146,146,97,97,97,97,145,False,False,False,False,False,False,False,False,False,False,False,False
