,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match
36,205,205,82,205,2,205,205,82,82,205,205,205,82,False,False,True,False,False,False,False,True,True,False,False,False
37,238,238,107,238,107,77,238,107,107,238,238,238,107,False,False,True,False,True,False,False,True,True,False,False,False
38,67,67,67,67,67,67,67,67,67,67,67,67,67,True,True,True,True,True,True,True,True,True,True,True,True
39,193,187,193,193,187,191,193,187,191,193,193,193,187,False,True,False,False,True,False,False,True,False,False,False,False
40,243,61,243,61,61,61,61,243,243,243,243,243,61,False,True,False,True,True,True,True,False,False,False,False,False
41,53,53,53,53,53,53,53,53,53,53,53,53,53,True,True,True,True,True,True,True,True,True,True,True,True
0,150,150,150,80,150,150,150,150,150,150,150,150,95,False,False,False,False,False,False,False,False,False,False,False,False
1,232,153,28,1,164,153,153,153,232,232,232,232,155,False,False,False,False,False,False,False,False,False,False,False,False
2,226,226,209,209,1,226,226,226,209,226,226,226,145,False,False,False,False,False,False,False,False,False,False,False,False
3,94,94,94,94,77,94,94,94,107,94,94,94,94,True,True,True,True,False,True,True,True,False,True,True,True
4,94,94,241,94,105,94,94,94,241,94,94,94,94,True,True,False,True,False,True,True,True,False,True,True,True
5,234,234,16,1,257,1,234,234,16,234,234,234,110,False,False,False,False,False,False,False,False,False,False,False,False
6,184,184,28,182,206,182,184,184,184,184,184,184,182,False,False,False,True,False,True,False,False,False,False,False,False
7,119,119,46,119,119,119,119,119,46,119,119,119,119,True,True,False,True,True,True,True,True,False,True,True,True
8,4,24,24,4,77,4,24,24,24,4,4,4,24,False,True,True,False,False,False,True,True,True,False,False,False
9,232,232,1,1,1,1,232,232,1,232,232,232,1,False,False,True,True,True,True,False,False,True,False,False,False
10,167,167,167,167,206,167,167,167,167,167,167,167,1,False,False,False,False,False,False,False,False,False,False,False,False
11,77,212,77,212,30,77,212,212,77,77,77,77,77,True,False,True,False,False,True,False,False,True,True,True,True
12,158,158,158,158,158,158,158,158,158,158,158,158,158,True,True,True,True,True,True,True,True,True,True,True,True
13,257,257,257,257,257,257,257,257,257,257,257,257,257,True,True,True,True,True,True,True,True,True,True,True,True
14,76,76,92,239,94,245,76,76,92,76,76,76,76,True,True,False,False,False,False,True,True,False,True,True,True
15,96,94,96,96,253,96,72,94,96,96,96,96,96,True,False,True,True,False,True,False,False,True,True,True,True
16,231,46,145,1,29,1,103,46,145,231,231,231,110,False,False,False,False,False,False,False,False,False,False,False,False
17,255,255,255,228,215,228,255,255,255,255,255,255,255,True,True,True,False,False,False,True,True,True,True,True,True
18,196,222,196,246,185,246,246,222,222,196,196,196,86,False,False,False,False,False,False,False,False,False,False,False,False
19,184,184,229,228,184,228,184,184,229,184,184,184,153,False,False,False,False,False,False,False,False,False,False,False,False
20,229,187,72,178,12,178,72,187,72,229,229,229,12,False,False,False,False,True,False,False,False,False,False,False,False
21,120,53,105,120,53,120,105,53,105,120,120,120,105,False,False,True,False,False,False,True,False,True,False,False,False
22,203,203,203,182,165,182,154,203,203,203,203,203,182,False,False,False,True,False,True,False,False,False,False,False,False
23,209,209,53,209,209,209,209,209,209,209,209,209,209,True,True,False,True,True,True,True,True,True,True,True,True
24,231,231,231,1,1,1,1,231,231,231,231,231,1,False,False,False,True,True,True,True,False,False,False,False,False
25,53,53,53,228,228,228,28,53,53,53,53,53,228,False,False,False,True,True,True,False,False,False,False,False,False
26,17,17,17,17,30,17,17,17,17,17,17,17,17,True,True,True,True,False,True,True,True,True,True,True,True
27,184,184,184,184,184,184,184,184,184,184,184,184,184,True,True,True,True,True,True,True,True,True,True,True,True
28,188,140,188,244,221,244,107,140,188,188,188,188,107,False,False,False,False,False,False,True,False,False,False,False,False
29,94,94,28,94,28,94,67,94,28,94,94,94,132,False,False,False,False,False,False,False,False,False,False,False,False
